force,strain
10.0750923,209.054
10.0750923,206.232
10.0750923,201.641
10.0750923,175.85
10.0750923,172.37900000000002
10.0750923,168.901
10.0750923,140.984
10.0750923,137.491
10.0750923,133.998
10.0750923,106.047
10.0750923,102.552
10.0750923,99.056
10.0750923,70.703
10.0750923,67.773
10.0750923,64.514
10.0750923,206.922
10.0750923,203.546
10.0750923,199.91400000000002
10.0750923,175.76899999999998
10.0750923,172.313
10.0750923,168.846
10.0750923,140.947
10.0750923,137.453
10.0750923,133.959
10.0750923,105.99600000000001
10.0750923,102.497
10.0750923,98.997
10.0750923,70.40700000000001
10.0750923,67.42999999999999
10.0750923,64.163
10.0750923,209.047
10.0750923,206.22199999999998
10.0750923,201.634
10.0750923,175.844
10.0750923,172.373
10.0750923,168.89499999999998
10.0750923,140.977
10.0750923,137.483
10.0750923,133.99
10.0750923,106.037
10.0750923,102.54100000000001
10.0750923,99.045
10.0750923,70.692
10.0750923,67.766
10.0750923,64.51100000000001
10.0750923,209.054
10.0750923,206.232
10.0750923,201.641
10.0750923,175.85
10.0750923,172.37900000000002
10.0750923,168.901
10.0750923,140.984
10.0750923,137.491
10.0750923,133.998
10.0750923,106.047
10.0750923,102.552
10.0750923,99.056
10.0750923,70.703
10.0750923,67.773
10.0750923,64.514
10.0750923,206.922
10.0750923,203.546
10.0750923,199.91400000000002
10.0750923,175.76899999999998
10.0750923,172.313
10.0750923,168.846
10.0750923,140.947
10.0750923,137.453
10.0750923,133.959
10.0750923,105.99600000000001
10.0750923,102.497
10.0750923,98.997
10.0750923,70.40700000000001
10.0750923,67.42999999999999
10.0750923,64.163
10.0750923,209.047
10.0750923,206.22199999999998
10.0750923,201.633
10.0750923,175.844
10.0750923,172.373
10.0750923,168.89499999999998
10.0750923,140.977
10.0750923,137.483
10.0750923,133.99
10.0750923,106.037
10.0750923,102.54100000000001
10.0750923,99.045
10.0750923,70.692
10.0750923,67.766
10.0750923,64.51100000000001
10.1704086,211.03199999999998
10.1704086,208.183
10.1704086,203.548
10.1704086,177.513
10.1704086,174.01
10.1704086,170.499
10.1704086,142.318
10.1704086,138.792
10.1704086,135.265
10.1704086,107.05
10.1704086,103.522
10.1704086,99.99300000000001
10.1704086,71.372
10.1704086,68.415
10.1704086,65.124
10.1704086,208.88
10.1704086,205.471
10.1704086,201.805
10.1704086,177.432
10.1704086,173.943
10.1704086,170.44299999999998
10.1704086,142.28099999999998
10.1704086,138.754
10.1704086,135.227
10.1704086,106.99799999999999
10.1704086,103.467
10.1704086,99.934
10.1704086,71.074
10.1704086,68.068
10.1704086,64.77000000000001
10.1704086,211.024
10.1704086,208.173
10.1704086,203.541
10.1704086,177.50799999999998
10.1704086,174.00400000000002
10.1704086,170.493
10.1704086,142.31
10.1704086,138.784
10.1704086,135.257
10.1704086,107.04
10.1704086,103.512
10.1704086,99.982
10.1704086,71.36099999999999
10.1704086,68.407
10.1704086,65.121
10.1704086,211.03199999999998
10.1704086,208.183
10.1704086,203.548
10.1704086,177.513
10.1704086,174.01
10.1704086,170.499
10.1704086,142.318
10.1704086,138.792
10.1704086,135.265
10.1704086,107.05
10.1704086,103.522
10.1704086,99.99300000000001
10.1704086,71.372
10.1704086,68.415
10.1704086,65.124
10.1704086,208.88
10.1704086,205.471
10.1704086,201.805
10.1704086,177.432
10.1704086,173.943
10.1704086,170.44299999999998
10.1704086,142.28099999999998
10.1704086,138.754
10.1704086,135.227
10.1704086,106.99799999999999
10.1704086,103.467
10.1704086,99.934
10.1704086,71.07300000000001
10.1704086,68.068
10.1704086,64.77000000000001
10.1704086,211.024
10.1704086,208.173
10.1704086,203.541
10.1704086,177.507
10.1704086,174.00400000000002
10.1704086,170.49200000000002
10.1704086,142.31
10.1704086,138.784
