force,strain
10.0028745,168.79
10.0028745,164.914
10.0028745,159.431
10.0028745,124.14500000000001
10.0028745,119.53999999999999
10.0028745,114.929
10.0028745,77.994
10.0028745,73.381
10.0028745,68.77
10.0028745,32.284
10.0028745,27.849
10.0028745,23.462
10.0028745,3.125
10.0028745,2.3659999999999997
10.0028745,1.724
10.0028745,166.94400000000002
10.0028745,162.659
10.0028745,158.005
10.0028745,124.039
10.0028745,119.443
10.0028745,114.838
10.0028745,77.896
10.0028745,73.282
10.0028745,68.67099999999999
10.0028745,32.515
10.0028745,28.28
10.0028745,24.204
10.0028745,3.339
10.0028745,2.338
10.0028745,1.671
10.0028745,168.781
10.0028745,164.90200000000002
10.0028745,159.422
10.0028745,124.13499999999999
10.0028745,119.529
10.0028745,114.918
10.0028745,77.97800000000001
10.0028745,73.364
10.0028745,68.753
10.0028745,32.255
10.0028745,27.818
10.0028745,23.43
10.0028745,3.066
10.0028745,2.3329999999999997
10.0028745,1.705
10.0028745,168.79
10.0028745,164.914
10.0028745,159.431
10.0028745,124.14500000000001
10.0028745,119.53999999999999
10.0028745,114.929
10.0028745,77.994
10.0028745,73.381
10.0028745,68.771
10.0028745,32.284
10.0028745,27.848
10.0028745,23.458000000000002
10.0028745,3.089
10.0028745,2.348
10.0028745,1.716
10.0028745,166.94400000000002
10.0028745,162.659
10.0028745,158.005
10.0028745,124.039
10.0028745,119.443
10.0028745,114.838
10.0028745,77.896
10.0028745,73.282
10.0028745,68.67099999999999
10.0028745,32.514
10.0028745,28.273
10.0028745,24.207
10.0028745,3.3529999999999998
10.0028745,2.292
10.0028745,1.6700000000000002
10.0028745,168.781
10.0028745,164.90200000000002
10.0028745,159.422
10.0028745,124.13499999999999
10.0028745,119.529
10.0028745,114.918
10.0028745,77.97800000000001
10.0028745,73.364
10.0028745,68.753
10.0028745,32.255
10.0028745,27.817
10.0028745,23.427
10.0028745,3.03
10.0028745,2.316
10.0028745,1.697
1.0016424,16.901999999999997
1.0016424,16.514000000000003
1.0016424,15.965
1.0016424,12.431000000000001
1.0016424,11.97
1.0016424,11.508000000000001
1.0016424,7.81
1.0016424,7.348
1.0016424,6.886
1.0016424,3.2329999999999997
1.0016424,2.7889999999999997
1.0016424,2.3489999999999998
1.0016424,0.313
1.0016424,0.237
1.0016424,0.173
1.0016424,16.717
1.0016424,16.288
1.0016424,15.822
1.0016424,12.421
1.0016424,11.96
1.0016424,11.498999999999999
1.0016424,7.8
1.0016424,7.338
1.0016424,6.876
1.0016424,3.256
1.0016424,2.8320000000000003
1.0016424,2.424
1.0016424,0.334
1.0016424,0.234
1.0016424,0.167
1.0016424,16.901
1.0016424,16.512999999999998
1.0016424,15.964000000000002
1.0016424,12.43
1.0016424,11.969
1.0016424,11.507
1.0016424,7.808000000000001
1.0016424,7.345999999999999
1.0016424,6.885
1.0016424,3.23
1.0016424,2.786
1.0016424,2.346
1.0016424,0.307
1.0016424,0.234
1.0016424,0.171
1.0016424,16.901999999999997
1.0016424,16.514000000000003
1.0016424,15.965
1.0016424,12.431000000000001
1.0016424,11.97
1.0016424,11.508000000000001
1.0016424,7.81
1.0016424,7.348
1.0016424,6.886
1.0016424,3.2329999999999997
1.0016424,2.7889999999999997
1.0016424,2.3489999999999998
1.0016424,0.309
1.0016424,0.235
1.0016424,0.17200000000000001
1.0016424,16.717
1.0016424,16.288
1.0016424,15.822
1.0016424,12.421
1.0016424,11.96
1.0016424,11.498999999999999
1.0016424,7.8
1.0016424,7.338
1.0016424,6.876
1.0016424,3.256
1.0016424,2.831
1.0016424,2.424
1.0016424,0.33599999999999997
1.0016424,0.22999999999999998
1.0016424,0.167
1.0016424,16.901
1.0016424,16.512999999999998
1.0016424,15.964000000000002
1.0016424,12.43
1.0016424,11.969
1.0016424,11.507
1.0016424,7.808000000000001
1.0016424,7.345999999999999
1.0016424,6.885
1.0016424,3.23
1.0016424,2.785
1.0016424,2.346
1.0016424,0.303
1.0016424,0.232
1.0016424,0.16999999999999998
10.1200392,170.767
10.1200392,166.845
10.1200392,161.299
10.1200392,125.599
10.1200392,120.94
10.1200392,116.27499999999999
10.1200392,78.908
10.1200392,74.24
10.1200392,69.576
10.1200392,32.662
10.1200392,28.175
10.1200392,23.736
10.1200392,3.162
10.1200392,2.3939999999999997
10.1200392,1.744
10.1200392,168.9
10.1200392,164.564
10.1200392,159.856
10.1200392,125.49199999999999
10.1200392,120.84200000000001
10.1200392,116.18299999999999
10.1200392,78.809
10.1200392,74.14
10.1200392,69.476
10.1200392,32.896
10.1200392,28.611
10.1200392,24.488
10.1200392,3.378
10.1200392,2.3659999999999997
10.1200392,1.69
10.1200392,170.75799999999998
10.1200392,166.834
10.1200392,161.28900000000002
10.1200392,125.58900000000001
10.1200392,120.92999999999999
10.1200392,116.264
10.1200392,78.892
10.1200392,74.223
10.1200392,69.558
10.1200392,32.632999999999996
10.1200392,28.144000000000002
10.1200392,23.705000000000002
10.1200392,3.1020000000000003
10.1200392,2.3609999999999998
10.1200392,1.725
10.1200392,170.767
10.1200392,166.845
10.1200392,161.299
10.1200392,125.599
10.1200392,120.94
10.1200392,116.27499999999999
10.1200392,78.908
10.1200392,74.24
10.1200392,69.576
10.1200392,32.662
10.1200392,28.174000000000003
10.1200392,23.733
10.1200392,3.125
10.1200392,2.3760000000000003
10.1200392,1.736
10.1200392,168.9
10.1200392,164.564
10.1200392,159.856
10.1200392,125.49199999999999
10.1200392,120.84200000000001
10.1200392,116.18299999999999
10.1200392,78.809
10.1200392,74.14
10.1200392,69.476
10.1200392,32.895
10.1200392,28.604
10.1200392,24.491
10.1200392,3.392
10.1200392,2.319
10.1200392,1.689
